MERE,MEIn,MEId,MIAO,MIEE,MIC,SCI,RP,SP,OP,RM,SM,OM
1.5,4,5.75,2,4.5,3.25,5,2,2.43,2.57,2,2.43,2.57
2.5,3.25,3,4,5.5,3.75,6.43,1.86,2.71,2.14,1.86,2.57,2
3,2.5,2.5,3.25,4,5.5,7.29,1.86,3.29,3.43,1.86,3.29,3.43
4.25,2,4,5,6,5.75,8,1.14,2.71,2.43,1.14,2.71,2.43
5.25,3.75,4.75,3.5,5.5,5.25,8.14,1.29,3.43,2.57,2.14,3.14,2.57
5.25,4,4.75,4,5,5,6.71,1,3.71,3.14,1,3.71,3.57
6.25,6.5,3.75,5.25,4,3,6.29,3.14,2.86,3.14,3.14,2.86,3.14
1.75,2.25,3.5,1.25,4,4.75,7,2.86,3.29,3.14,2.86,3.29,3.14
6.25,6,4.25,4,6,5.25,7.86,1.43,2.14,1.57,1.43,2.43,1.57
3.25,3,4.75,2.25,5,3.75,8.86,1.14,2.43,3,1.14,2.43,3
7,6.75,6.5,6.75,6.25,6.75,8,1.29,3,2.14,1.29,3,2.14
4,3.75,3.75,4.25,4.25,4,5.86,1.29,3.43,2.57,1.57,2.86,2.29
6,4.75,6.5,6.5,6.5,5,9,1.29,3.43,2.57,2,3.29,2.71
5.5,4.5,6.5,4.5,4.5,5,6.43,1.29,3.43,2.57,3.43,2.43,3
4,4.25,5.75,4,4.75,5.25,7.86,1.86,3,3.14,1.86,3,3.14
3.75,2.5,1,5.75,3.5,3,10.43,1.14,3.71,2.57,1.14,3.86,2.71
4.5,4.5,5.5,5.25,4.25,5,7.43,1,3.71,2.29,1,3.71,2.43
3.75,4.75,3.25,5.25,5.5,5,7.71,2.14,2.71,3,2.14,2.71,3
3.5,5,4,5.5,6,4.75,6.57,1.71,3.43,2.43,1.71,3.43,2.43
4,4,3.25,4.75,6.5,3.25,6.57,2.14,2.57,2.43,2.14,2.57,2.43
5.75,4.75,4.5,4.25,6.5,6,8.29,1.43,2.86,3,1.43,3,3.14
6.75,5,4.25,6.25,5.25,5.25,7,2,2.86,2.29,2.29,2.71,1.86
4.5,4,2.75,5.75,6.25,5,6.43,1.71,3.29,3,1.43,3.29,3.29
2,1.75,2.25,2.5,2.25,3.5,5.71,1,2.29,1.57,1,2.86,1.71
4.75,5.5,3.25,5.5,5.5,5,9.14,1.57,3.57,2.71,1.57,3.57,2.71
2.25,3.5,1.5,2.75,1.75,2.25,7,1.14,3.86,2.43,1.14,3.71,2.29
