    1,50    4,00    5,75    2,00    4,50    3,25    5,00    2,00    2,43    2,57    2,00    2,43    2,57
    2,50    3,25    3,00    4,00    5,50    3,75    6,43    1,86    2,71    2,14    1,86    2,57    2,00
    3,00    2,50    2,50    3,25    4,00    5,50    7,29    1,86    3,29    3,43    1,86    3,29    3,43
    4,25    2,00    4,00    5,00    6,00    5,75    8,00    1,14    2,71    2,43    1,14    2,71    2,43
    5,25    3,75    4,75    3,50    5,50    5,25    8,14    1,29    3,43    2,57    2,14    3,14    2,57
    5,25    4,00    4,75    4,00    5,00    5,00    6,71    1,00    3,71    3,14    1,00    3,71    3,57
    6,25    6,50    3,75    5,25    4,00    3,00    6,29    3,14    2,86    3,14    3,14    2,86    3,14
    1,75    2,25    3,50    1,25    4,00    4,75    7,00    2,86    3,29    3,14    2,86    3,29    3,14
    6,25    6,00    4,25    4,00    6,00    5,25    7,86    1,43    2,14    1,57    1,43    2,43    1,57
    3,25    3,00    4,75    2,25    5,00    3,75    8,86    1,14    2,43    3,00    1,14    2,43    3,00
    7,00    6,75    6,50    6,75    6,25    6,75    8,00    1,29    3,00    2,14    1,29    3,00    2,14
    4,00    3,75    3,75    4,25    4,25    4,00    5,86    1,29    3,43    2,57    1,57    2,86    2,29
    6,00    4,75    6,50    6,50    6,50    5,00    9,00    1,29    3,43    2,57    2,00    3,29    2,71
    5,50    4,50    6,50    4,50    4,50    5,00    6,43    1,29    3,43    2,57    3,43    2,43    3,00
    4,00    4,25    5,75    4,00    4,75    5,25    7,86    1,86    3,00    3,14    1,86    3,00    3,14
    3,75    2,50    1,00    5,75    3,50    3,00   10,43    1,14    3,71    2,57    1,14    3,86    2,71
    4,50    4,50    5,50    5,25    4,25    5,00    7,43    1,00    3,71    2,29    1,00    3,71    2,43
    3,75    4,75    3,25    5,25    5,50    5,00    7,71    2,14    2,71    3,00    2,14    2,71    3,00
    3,50    5,00    4,00    5,50    6,00    4,75    6,57    1,71    3,43    2,43    1,71    3,43    2,43
    4,00    4,00    3,25    4,75    6,50    3,25    6,57    2,14    2,57    2,43    2,14    2,57    2,43
    5,75    4,75    4,50    4,25    6,50    6,00    8,29    1,43    2,86    3,00    1,43    3,00    3,14
    6,75    5,00    4,25    6,25    5,25    5,25    7,00    2,00    2,86    2,29    2,29    2,71    1,86
    4,50    4,00    2,75    5,75    6,25    5,00    6,43    1,71    3,29    3,00    1,43    3,29    3,29
    2,00    1,75    2,25    2,50    2,25    3,50    5,71    1,00    2,29    1,57    1,00    2,86    1,71
    4,75    5,50    3,25    5,50    5,50    5,00    9,14    1,57    3,57    2,71    1,57    3,57    2,71
    2,25    3,50    1,50    2,75    1,75    2,25    7,00    1,14    3,86    2,43    1,14    3,71    2,29
    4,75    4,50    2,75    5,00    3,25    5,00    7,29    2,14    3,33    3,00    2,29    3,57    2,86
    3,00    3,00    4,50    4,00    6,00    5,00    8,29    1,00    3,29    2,14    1,00    3,29    2,14
    4,25    5,50    5,50    5,00    5,50    5,25    9,00    1,71    3,43    3,00    1,71    3,43    3,00
    2,75    3,75    1,75    2,75    3,00    2,75    8,29    1,43    2,14    2,29    1,29    2,71    2,57
    6,00    7,00    6,50    2,50    5,00    5,25    7,43    1,57    3,43    3,57    1,57    3,43    3,57
    2,25    2,75    3,25    2,50    2,75    4,75    6,86    2,00    1,57    3,43    2,00    1,57    3,43
    4,25    2,00    2,25    2,00    2,50    2,75    8,29    1,57    4,00    2,57    1,57    4,00    2,57
    6,50    5,25    4,25    5,00    4,00    3,25    6,57    1,43    1,14    1,86    2,00    3,29    3,57
    4,75    5,25    4,75    3,75    3,25    3,75    7,29    3,00    2,71    3,14    2,43    3,00    3,14
    5,25    5,50    5,25    5,75    4,75    6,50    8,86    1,43    3,29    2,57    1,43    3,43    2,71
    5,00    5,50    5,25    4,25    6,25    5,00    7,86    1,29    3,86    3,00    1,29    3,86    3,00
    3,75    4,50    5,50    5,00    5,50    5,50    8,00    1,86    3,71    1,71    1,86    3,57    2,57
    5,00    5,75    4,75    3,25    5,25    3,50    8,14    1,29    3,29    1,71    1,57    3,57    2,57
    4,00    2,25    2,75    4,25    3,75    5,75    8,57    1,00    4,00    2,71    1,00    4,00    2,71
    3,00    2,75    3,00    5,00    3,00    3,75    7,00    1,57    3,86    2,29    1,57    3,86    2,29
    3,00    2,25    2,25    4,50    5,00    5,25    8,14    1,43    3,57    2,57    1,43    3,57    2,57
    7,00    5,00    5,25    6,50    5,75    5,50    6,43    2,14    2,71    2,00    1,86    2,43    2,43
    1,75    4,50    3,00    2,50    5,25    3,00    5,43    2,00    2,86    2,71    2,00    2,86    2,71
    4,75    5,00    5,25    5,25    4,50    3,75    7,43    1,71    2,14    3,00    1,71    2,14    3,00
    3,75    3,00    4,00    3,75    2,50    3,00    6,14    2,43    2,29    2,86    2,43    2,29    2,86
    1,00    1,25    1,00    1,00    4,50    4,50    8,43    1,43    3,57    2,29    1,43    4,00    2,29
    4,75    5,25    5,25    4,00    5,75    4,50    6,57    2,14    3,43    3,29    2,14    3,43    3,29
    3,00    3,50    2,00    3,00    6,50    6,25    8,00    1,00    3,57    2,29    1,00    3,57    2,29
    4,50    5,00    4,50    4,50    5,00    3,25    7,14    1,71    3,14    2,57    1,43    3,71    3,00
    5,25    4,25    3,50    4,50    4,25    5,00    6,57    2,43    2,57    2,86    3,00    2,57    2,57
    5,75    4,25    5,25    6,00    6,50    6,50    9,14    1,71    3,43    3,14    1,71    3,43    3,14
    2,75    5,25    4,25    6,75    5,75    6,00    9,86    1,00    3,71    2,43    1,00    3,71    2,43
    5,00    4,00    3,25    5,50    7,00    6,75    7,71    1,86    3,29    2,71    1,86    3,29    2,86
    1,50    4,50    3,75    3,25    4,00    3,00    8,00    1,14    3,14    2,57    1,14    3,71    2,86
    6,00    5,25    5,25    5,50    5,50    5,75    5,43    1,43    3,29    3,29    1,43    3,29    3,29
    2,25    4,50    4,25    3,50    4,25    4,25   10,14    1,14    2,43    1,57    1,14    2,43    1,71
    4,50    3,00    5,25    4,75    5,75    6,25    9,86    1,14    3,71    2,29    1,29    3,86    2,43
    5,00    6,50    5,00    3,50    5,75    6,50    6,43    1,29    2,57    2,14    1,29    2,57    2,14
    2,50    2,25    3,00    3,25    3,25    3,25    8,86    1,00    3,29    2,71    1,00    3,29    2,71
    1,25    4,75    4,50    5,25    6,75    5,25    8,86    1,29    3,00    1,71    1,29    3,71    2,14
    6,00    2,50    5,00    5,50    7,00    5,00    6,57    1,00    3,86    3,57    1,00    3,86    3,57
    3,00    3,50    2,50    4,25    6,50    5,25    7,00    1,00    3,57    2,86    1,00    4,00    3,57
    3,25    1,75    2,50    3,25    3,75    3,00    8,71    1,57    3,86    3,00     ,00     ,00     ,00
    4,25    3,50    2,50    5,25    5,50    3,50    8,71    1,57    3,86    2,43    1,14    3,57    2,43
    2,75    2,75    2,25    3,00    4,50    3,25    7,57     ,00     ,00     ,00    1,29    3,86    2,57
    1,25    1,50    1,75    3,75    2,75    2,75    9,43    1,00    3,71    3,14    1,14    3,86    3,71
    4,00    4,50    3,25    6,50    5,25    5,00    8,14    1,14    3,57    2,86    1,29    3,57    3,00
    4,50    6,00    5,25    6,25    5,50    5,50    9,57     ,00     ,00     ,00    1,29    4,00    2,86
    5,25    4,00    4,75    5,25    5,25    5,25    8,29    1,00    3,57    3,00    1,00    3,57    3,00
    2,25    3,50    1,75    5,75    5,25    5,75    8,57    1,43    3,43    2,71    1,43    3,57    2,86
    3,00    2,25    2,50    4,75    3,50    3,75    8,86    1,14    3,86    3,00    1,14    3,86    3,00
    2,25    2,00    2,25    2,75    4,50    2,50    4,29    1,29    3,29    2,86    1,29    3,29    2,86
    3,50    5,00    2,75    5,25    5,25    4,25    6,29    1,71    3,29    2,57    1,71    3,29    2,43
    1,25    1,75    4,75    7,00    6,25    4,00    7,71    1,29    3,86    2,57    1,14    3,86    2,71
    3,50    2,25    1,25    3,00    4,75    4,00    8,00    1,14    4,00    2,00    1,14    4,00    2,14
    4,75    1,75    1,50    3,25    5,50    3,00    6,71    1,00    3,86    2,14    1,00    3,86    2,14
    4,50    3,25    3,75    5,00    4,00    3,75    8,71    1,00    2,57    2,57    1,29    3,43    3,29
    5,00    3,75    2,50    5,00    5,00    2,25    8,43     ,00     ,00     ,00    1,29    3,86    2,43
    3,25    3,75    3,00    2,75    3,00    3,25    4,86    1,43    3,29    2,43    1,43    3,29    2,43
    3,00    1,25    1,50    2,50    2,25    1,75    6,29    1,00    3,86    2,00    1,00    3,86    2,14
    6,00    4,00    4,00    4,00    6,25    4,25    8,00    1,14    3,57    2,86    1,14    3,71    2,71
    5,50    4,00    5,25    6,00    5,75    5,00    6,57    1,86    4,00    3,29    1,57    4,00    3,29
    1,75    1,50    2,00    2,50    1,50    3,50    7,57    2,00    3,14    2,14    1,43    3,29    2,00
    4,25    4,50    2,00    3,50    4,50    1,25    7,71    1,00    3,86    2,71    1,00    3,86    2,71
    4,00    6,25    5,00    6,75    6,50    5,50    8,29    1,29    3,57    3,14     ,00     ,00     ,00
    2,00    3,00    3,25    4,25    5,25    4,25    8,43    1,00    3,71    2,43    1,00    3,71    2,57
    6,25    5,00    6,00    6,50    6,50    6,50    7,71    1,29    3,43    2,57    1,00    4,00    2,86
